n,aa,n_res,n_samples,xi_exp,xi_exp_R2,xi_exp_saturated,xi_exp_A,xi_exp_c,xi_log,xi_log_R2,xi_log_p,pl_alpha,pl_R2,spearman_r,spearman_p
18,G,18,250,1729.9583398548614,0.9937835911298293,False,2.001909902400975,-0.999999775501023,16.072976416577664,0.9615668106857838,5.005576354626593e-12,0.003328916238204704,0.8215263864640632,-1.0,0.0
18,K,18,250,159.09298140486865,0.9886474618107212,False,2.0031872477420625,-0.9999999999999999,7.3640532628681425,0.7767719756344384,2.9515024890726196e-06,0.0356180170378872,0.8205320708319342,-1.0,0.0
18,L,18,250,3006.099734359111,0.9374013494732019,False,1.805699987036444,-0.8039816631310266,25.452000306509245,0.8931364891769805,1.1076753222143663e-08,0.001628381358862649,0.6871025070850151,-0.9975490196078433,9.580348013919738e-19
18,S,18,250,2907.4515238803056,0.9362615798938989,False,2.0011299481737104,-0.9999999744712267,24.75429168774771,0.8608330875763057,8.159709924187889e-08,0.0019168522388532828,0.7236035673321879,-1.0,0.0
19,E,19,250,116.06529354684255,0.9972326105652753,False,0.3391080144654814,0.6633625276429798,10.987741209511253,0.9547978414162567,3.4936596562267063e-12,0.0084377777897004,0.8702523029474285,-1.0,0.0
19,G,19,250,954.2768797202324,0.809457279023613,False,2.005312922699638,-0.9999997885133804,16.895139674737134,0.5778407730596167,0.0002510399612836566,0.005817288426050646,0.5663151692531937,-1.0,0.0
19,K,19,250,159.51516549537314,0.8022853392848,False,2.024306843715237,-0.9999999999999999,10.786175408762684,0.4101786405363182,0.004191829144411648,0.03461103203776644,0.5728772633050057,-1.0,0.0
19,L,19,250,3155.9859173228565,0.9379208840860825,False,2.000555856156354,-0.9985962276980626,24.89068354641275,0.890767654648058,4.189005925852864e-09,0.0017978392074437387,0.683585072644973,-0.9979360165118679,1.6451231715312417e-20
19,S,19,250,3008.373523905992,0.9896870869522768,False,2.0011360335345625,-0.9999994053512692,23.68195093952854,0.9603990705587823,1.2092772537237556e-12,0.001992953708704725,0.8042993652338717,-1.0,0.0
20,E,20,250,2500.963406514115,0.9945342559187773,False,2.0013266481012204,-0.9999999109478611,21.158783007365425,0.9655953392008912,7.052950195779337e-14,0.00255177402566201,0.818771008133604,-1.0,0.0
